世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
118,柏林自由大学,德国,55.8,80.7,44.9,63.5,4
118,华盛顿大学在圣路易斯,美国,55.8,40.1,15.3,55.6,99.9
120,伯尔尼大学,瑞士,55.7,30.3,35.5,98.3,64.9
121,智利天主教大学,智利,54.9,91.8,98.1,12.5,22.3
122,纽卡斯尔大学,英国,54.8,46.2,83.8,58.9,39.1
123,马来西亚博特拉大学,马来西亚,54.7,56.8,59.2,19.5,75.4
124,瓦赫宁根大学,荷兰,54.6,42.8,17,48.2,97.4
125,查尔姆斯理工大学,瑞典,54.5,27.9,60.7,81.6,60.5
125,伦敦大学皇后玛丽学院,英国,54.5,48.9,36.2,62.6,42.8
125,日内瓦大学,瑞士,54.5,46.5,20,74,44.8
128,乌普萨拉大学,瑞典,54.3,63.6,27.4,43.4,43.4
129,普渡大学,美国,54.2,62.7,73.1,70.9,11.7
129,马来西亚国民大学,马来西亚,54.2,57.9,62,9.4,93.1
131,柏林洪堡大学,德国,54.1,90.1,55.6,29.5,8.7
131,莱顿大学,荷兰,54.1,68.1,23.4,65.8,22.2
133,南京大学,中国大陆,53.9,57.7,17.7,96.1,32.3
134,南加州大学,美国,53.7,54.6,59.1,71.7,28.4
135,九州大学,日本,53.5,56.6,65,26.8,84.9
136,巴塞尔大学,瑞士,53.3,28,26.8,95.7,53.8
137,悉尼科技大学,澳大利亚,53.2,41.8,66.1,90.4,9.6
138,埃因霍芬理工大学,荷兰,52.7,28.9,72.8,78.2,50.5
139,米兰理工大学,意大利,52.4,67.8,76.8,53.5,5.4
140,俄亥俄州立大学,美国,52,61.1,62.2,34.6,51.1
141,北海道大学,日本,51.9,55.6,60.7,30,77.8
141,卡尔斯鲁厄理工学院,德国,51.9,44.7,67.7,72,33.3
143,根特大学,比利时,51.6,54,30.1,26.9,83.2
143,马来西亚理科大学,马来西亚,51.6,59.7,66.6,13.4,65.2
145,格罗宁根大学,荷兰,51.4,51.6,21.6,42.2,54.4
146,兰卡斯特大学,英国,51.2,39.6,30,82.2,31.5
147,亚琛工业大学,德国,51.1,49.5,88.7,73.3,5.4
147,罗切斯特大学,美国,51.1,23.8,20.1,55,99.3
149,加州大学圣芭芭拉分校,美国,50.9,55.9,24,97.2,10.6
150,哈拉克国立大学,哈萨克斯坦,50.8,49.1,76.9,1.3,98.3
151,维也纳大学,奥地利,50.6,69.4,55.3,14.1,24.2
152,麦克马斯特大学,加拿大,50.4,39.9,50.2,21.3,84.7
153,斯德哥尔摩大学,瑞典,50.1,54.5,17.7,62.5,29.2
154,滑铁卢大学,加拿大,50,40.2,77.6,82.5,7
155,埃默里大学,美国,49.5,25.2,15.7,68.7,99.1
155,印度科学研究所班加罗尔,印度,49.5,37.6,22.9,100,56.3
157,汉阳大学,韩国,49.4,45,79.1,17.6,83.2
158,柏林工业大学,德国,49.3,55.1,64.9,23.6,48.5
159,密歇根州立大学,美国,48.9,60.5,61.4,58.9,12.9
160,法赫德法国石油和矿物大学,沙特阿拉伯,48.8,30.3,24.9,50.9,88.5
161,奥胡斯大学,丹麦,48.6,55.6,33.5,55.2,32.4
162,约克大学,英国,48.4,43.3,36.1,48.6,45
163,埃克塞特大学,英国,48.2,41.1,56.1,55.3,31.5
164,德州农工大学,美国,47.9,61.5,65,67.8,5
164,马里兰大学，学院公园,美国,47.9,51.2,35.6,71.1,37.1
166,卡迪夫大学,英国,47.8,46,47.7,41.8,40.3
167,博洛尼亚大学,意大利,47.5,78.5,43.1,49.7,3.5
167,智利大学,智利,47.5,80,92,13.9,12.5
169,蒂宾根大学,德国,47.2,44.7,21,14.9,96.7
170,蒙特雷科技大学,墨西哥,47.1,48.8,92.8,2.2,72.9
171,萨皮恩扎 - 罗马大学,意大利,46.8,78,36.6,50.2,4.5
172,印度理工学院孟买分校,印度,46.7,53.3,86.5,55.1,25.8
172,韦仕敦大学,加拿大,46.7,30.6,60.5,96.9,4.6
174,国立路桥学校,法国,46.5,8.4,55.3,56.7,97.4
